text|created_at
Our economy is the best in the world, by far. Lowest unemployment ever within almost all categories. Poised for big growth after trade deals are completed. Import prices down, China eating Tariffs. Helping targeted Farmers from big Tariff money coming in. Great future for USA!|08-18-2019 19:24:09
Juan Williams at @FoxNews is so pathetic, and yet when he met me in the Fox Building lobby, he couldn’t have been nicer as he asked me to take a picture of him and me for his family. Yet he is always nasty and wrong!|08-18-2019 19:15:55
We are doing very well with China, and talking!|08-18-2019 18:27:56
Doing really well! https://t.co/UndcviEiML|08-18-2019 18:25:31
MAKE AMERICA GREAT AGAIN!|08-18-2019 12:34:53
With all that this Administration has accomplished, think what my Poll Numbers would be if we had an honest Media, which we do not!|08-18-2019 12:26:09
.....”Journalism” has reached a new low in the history of our Country. It is nothing more than an evil propaganda machine for the Democrat Party. The reporting is so false, biased and evil that it has now become a very sick joke...But the public is aware! #CROOKEDJOURNALISM|08-18-2019 12:22:56
The Failing New York Times, in one of the most devastating portrayals of bad journalism in history, got caught by a leaker that they are shifting  from their Phony Russian Collusion Narrative (the Mueller Report &amp; his testimony were a total disaster), to a Racism Witch Hunt.....|08-18-2019 12:22:55
Such a disgrace at the once great @nytimes! https://t.co/UKjP6AU0hz|08-17-2019 22:08:26
Thank you! https://t.co/tG32CxB1LQ|08-17-2019 21:54:44
The Fake News Media HATES to see this! https://t.co/VMgyggOQ3Q|08-17-2019 21:49:46
Thank you to @SaraCarterDC. A great and legitimate reporter, as opposed to those at the Failing New York Times! https://t.co/oM7vEvt9xO|08-17-2019 21:47:38
Major consideration is being given to naming ANTIFA an “ORGANIZATION OF TERROR.” Portland is being watched very closely. Hopefully the Mayor will be able to properly do his job!|08-17-2019 14:04:19
Biggest crowd EVER, according to Arena people. Thousands outside trying to get in. Place was packed! Radical Left Dems &amp; their Partner, LameStream Media, saying Arena empty. Check out pictures. Fake News. The Enemy of the People! https://t.co/KkZWspM93a|08-17-2019 03:11:06
Look at the tremendous overflow at packed arena in New Hampshire last night. Sorry we couldn’t get you in, will be back soon! https://t.co/Rvd2TeJrpo|08-17-2019 02:44:52
Great time in New Hampshire last night. Placed was maxed out, totally packed, with thousands coming to the arena floor at start. Thousands more outside that were not allowed in per code. Energy was really great to see. We will win New Hampshire in 2020!|08-17-2019 02:43:30
Having dinner tonight with Tim Cook of Apple. They will be spending vast sums of money in the U.S. Great!|08-16-2019 23:04:19
Just completed a very good meeting on Afghanistan. Many on the opposite side of this 19 year war, and us, are looking to make a deal - if possible!|08-16-2019 22:58:44
I donate 100% of my President’s salary, $400,000, back to our Country, and feel very good about it! https://t.co/cX8Op2qyw7|08-16-2019 22:52:54
